"Sample","Date","Start.Time","Sample.Temp..C.","Sample.Pressure..kPa.","Mean.Free.Path..m.","Gas.Viscosity..Pas.","Diameter.Midpoint","X1.02","X1.06","X1.09","X1.13","X1.18","X1.22","X1.26","X1.31","X1.36","X1.41","X1.46","X1.51","X1.57","X1.63","X1.68","X1.75","X1.81","X1.88","X1.95","X2.02","X2.09","X2.17","X2.25","X2.33","X2.41","X2.50","X2.59","X2.69","X2.79","X2.89","X3.00","X3.11","X3.22","X3.34","X3.46","X3.59","X3.72","X3.85","X4.00","X4.14","X4.29","X4.45","X4.61","X4.78","X4.96","X5.14","X5.33","X5.52","X5.73","X5.94","X6.15","X6.38","X6.61","X6.85","X7.10","X7.37","X7.64","X7.91","X8.20","X8.51","X8.82","X9.14","X9.47","X9.82","X10.2","X10.6","X10.9","X11.3","X11.8","X12.2","X12.6","X13.1","X13.6","X14.1","X14.6","X15.1","X15.7","X16.3","X16.8","X17.5","X18.1","X18.8","X19.5","X20.2","X20.9","X21.7","X22.5","X23.3","X24.1","X25.0","X25.9","X26.9","X27.9","X28.9","X30.0","X31.1","X32.2","X33.4","X34.6","X35.9","X37.2","X38.5","X40.0","X41.4","X42.9","X44.5","X46.1","X47.8","X49.6","X51.4","X53.3","X55.2","X57.3","X59.4","X61.5","X63.8","X66.1","X68.5","X71.0","X73.7","X76.4","X79.1","X82.0","X85.1","X88.2","X91.4","X94.7","X98.2","X101.8","X105.5","X109.4","X113.4","X117.6","X121.9","X126.3","X131.0","X135.8","X140.7","X145.9","X151.2","X156.8","X162.5","X168.5","X174.7","X181.1","X187.7","X194.6","X201.7","X209.1","X216.7","X224.7","X232.9","X241.4","X250.3","X259.5","X269.0","X278.8","X289.0","X299.6","X310.6","X322.0","X333.8","X346.0","X358.7","X371.8","X385.4","X399.5","X414.2","X429.4","X445.1","X461.4","X478.3","X495.8","X514.0","X532.8","X552.3","X572.5","X593.5","X615.3","X637.8","X661.2","X685.4","X710.5","X736.5","X763.5","X791.5","X820.5","X850.5","X881.7","X914.0","X947.5","X982.2","Scan.Up.Time.s.","Retrace.Time.s.","Down.Scan.First","Scans.Per.Sample","Impactor.Type.cm.","Sheath.Flow.lpm.","Aerosol.Flow.lpm.","CPC.Inlet.Flow.lpm.","CPC.Sample.Flow.lpm.","Low.Voltage","High.Voltage","Lower.Size.nm.","Upper.Size.nm.","Density.g.cc.","Title","Status.Flag","td.s.","tf.s.","D50.nm.","Median.nm.","Mean.nm.","Geo..Mean.nm.","Mode.nm.","Geo..Std..Dev.","Total.Conc..cm.","Comment","date","end_date"
"5500",2865,"04/08/16","01:45:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.901,124.786,39.1151,110.398,350.891,160.883,186.967,89.4618,348.934,427.329,337.576,248.815,266.833,302.347,407.093,275.309,203.758,322.024,309.736,226.143,202.599,121.657,186.272,245.741,105.081,115.333,60.6884,103.164,179.761,189.719,29.0336,92.2609,197.199,122.141,144.635,99.0319,166.044,130.736,157.816,144.174,222.322,201.243,328.87,205.97,247.326,226.925,289.95,260.174,269.789,307.836,425.416,310.65,374.495,295.885,231.264,219.001,249.298,294.722,193.628,222.673,209.044,229.591,197.599,213.498,210.819,107.179,197.172,131.18,118.908,163.988,174.681,117.567,127.759,140.697,134.01,200.599,120.582,150.407,142.371,115.891,150.41,80.2911,151.795,207.347,115.02,99.551,143.754,131.585,95.5688,68.5942,112.371,89.1817,70.807,95.795,71.0833,111.79,29.7225,190.058,45.3402,9.49772,89.1221,41.1615,48.1999,120.426,76.5152,84.8375,34.6514,113.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,15,FALSE,2,"None",3,0.4,1,1,10.089,9958.57,14.3301,697.831,1.2,NA,"Normal Scan",1.5475,7.29962,1000,78.6807,125.377,75.8501,20.1691,2.73019,295.347,NA,2016-04-08 01:45:00,"2016-04-08 01:47:15"
"5501",2866,"04/08/16","01:50:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.849,97.3905,189.208,110.398,138.549,113.418,164.897,127.428,348.934,182.764,72.0772,229.188,433.783,233.652,258.828,376.191,326.621,341.861,267.475,310.734,214.17,104.277,313.814,180.683,130.287,159.776,121.377,103.164,86.5412,42.0445,97.7463,105.657,128.151,228.006,144.635,135.828,117.717,171.634,126.908,262.257,131.15,335.418,327.751,258.484,361.36,245.043,345.669,308.907,184.349,380.625,278.387,159.092,248.357,159.063,245.067,250.518,215.275,197.39,291.628,160.858,208.425,228.908,181.286,186.61,260.731,139.649,151.217,103.444,189.747,191.916,107.18,119.438,141.328,77.5262,114.01,148.355,215.467,92.1296,147.394,87.9523,161.479,192.909,144.828,139.954,138.77,87.5591,108.47,119.894,156.273,115.034,97.4303,82.745,137.936,123.165,139.546,84.838,87.4344,130.09,222.911,94.3259,120.116,83.7539,123.181,85.5164,114.204,61.3135,60.2436,43.3848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,15,FALSE,2,"None",3,0.4,1,1,10.089,9958.57,14.3301,697.831,1.2,NA,"Normal Scan",1.5475,7.29962,1000,77.7571,136.106,81.0011,22.4679,2.78828,294.646,NA,2016-04-08 01:50:00,"2016-04-08 01:52:15"
"5502",2867,"04/08/16","01:55:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.752,0,78.2302,110.398,69.2747,146.456,79.9941,119.542,177.995,251.547,116.043,124.94,308.74,160.289,210.838,333.728,257.475,340.029,326.419,347.254,232.509,207.937,196.955,163.259,151.019,156.835,218.611,242.951,106.24,92.978,207.687,116.092,94.9313,38.4862,163.799,197.723,121.332,190.448,248.485,253.647,171.453,313.644,218.292,191.343,295.153,236.147,374.396,379.871,292.547,378.704,207.918,293.249,254.934,170.44,299.03,329.125,216.483,355.109,250.702,263.042,192.819,189.641,219.357,230.912,181.238,183.379,161.119,170.086,168.867,103.48,161.149,107.495,136.855,154.648,225.042,186.775,171.427,152.726,89.1406,139.292,99.8241,66.245,203.011,146.33,166.096,195.827,130.148,49.6413,62.7785,117.378,153.427,172.755,159.855,70.0959,116.478,165.833,71.5084,116.416,45.3402,106.804,89.1565,99.4628,46.7365,65.2548,82.8431,76.4615,129.218,70.1169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,15,FALSE,2,"None",3,0.4,1,1,10.089,9958.57,14.3301,697.831,1.2,NA,"Normal Scan",1.5475,7.29962,1000,82.8055,136.574,84.9835,79.1476,2.65914,296.655,NA,2016-04-08 01:55:00,"2016-04-08 01:57:15"
"5503",2868,"04/08/16","02:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221.253,131.557,110.977,110.398,103.912,231.269,124.645,119.231,206.733,182.764,103.87,273.661,166.271,251.882,131.525,245.331,172.326,321.043,148.969,197.153,288.723,315.246,119.138,212.975,249.071,177.407,60.6884,139.314,99.7078,78.9631,123.683,120.562,157.759,166.774,75.5994,36.4548,97.9954,191.351,139.894,174.712,295.626,190.643,228.587,152.143,340.83,272.841,339.279,294.493,256.263,325.685,240.337,298.205,234.186,253.632,207.715,248.679,203.724,181.285,190.084,276.979,344.234,252.366,270.271,164.414,179.973,289.492,142.231,185.726,135.892,191.61,143.532,146.761,110.826,193.431,151.26,122.693,118.666,120.367,111.044,144.545,195.125,91.6476,183.641,93.2309,111.538,95.1309,212.915,39.8921,106.15,188.26,69.0123,192.451,53.7031,137.243,139.146,86.306,100.364,145.345,132.765,98.0636,27.1678,94.2536,104.69,73.1507,49.7059,144.331,8.67638,52.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,15,FALSE,2,"None",3,0.4,1,1,10.089,9958.57,14.3301,697.831,1.2,NA,"Normal Scan",1.5475,7.29962,1000,84.7465,137.245,84.4792,126.346,2.72679,283.714,NA,2016-04-08 02:00:00,"2016-04-08 02:02:15"
"5504",2869,"04/08/16","02:05:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.5011,83.1904,136.708,202.58,69.2747,165.192,147.225,97.5038,121.561,182.764,46.1099,278.88,148.166,380.864,227.505,240.326,273.698,359.865,173.929,125.584,218.424,152.274,110.608,138.732,111.992,117.214,158.958,102.721,87.944,184.371,149.244,118.312,145.339,147.799,182.435,99.0319,153.878,159.675,82.32,202.009,324.354,212.825,220.088,324.532,176.504,361.064,339.279,289.117,309.982,410.615,267.249,274.621,281.243,238.404,247.057,344.974,205.445,248.663,211.258,239.092,171.611,152.667,151.025,293.737,135.624,212.491,218.306,148.925,152.876,100.847,111.439,119.438,135.527,93.7552,225.042,170.597,143.857,148.981,181.776,139.292,116.984,74.2151,131.427,134.664,103.223,115.499,115.335,131.585,181.175,94.1391,75.7096,174.731,89.081,98.7442,45.3945,168.629,172.739,158.832,87.4249,98.0636,100.844,68.045,62.8031,114.196,66.2745,67.87,34.4874,52.5876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,15,FALSE,2,"None",3,0.4,1,1,10.089,9958.57,14.3301,697.831,1.2,NA,"Normal Scan",1.5475,7.29962,1000,84.2232,137.626,85.5432,85.0526,2.68488,281.9,NA,2016-04-08 02:05:00,"2016-04-08 02:07:15"
"5505",2870,"04/08/16","02:10:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.5011,41.5952,117.345,147.197,138.549,66.077,155.806,208.381,170.642,137.566,309.987,298.507,219.23,302.347,376.802,215.462,127.117,257.871,179.828,238.656,251.447,227.141,228.907,229.358,111.992,108.63,60.6884,73.6888,82.6685,171.941,137.425,66.9788,101.858,105.864,220.821,116.942,162.104,122.979,236.458,216.367,166.235,145.246,329.599,266.988,254.169,234.18,240.621,252.076,285.106,283.555,360.453,320.393,232.15,308.217,232.794,270.272,222.737,221.546,287.193,231.625,191.165,189.641,168.279,144.78,181.238,202.632,146.293,271.983,133.848,113.205,97.0495,158.704,87.1335,124,124.01,118.484,204.104,95.8747,109.516,143.272,134.708,102.208,114.775,116.592,83.0793,87.8997,128.841,130.254,95.5688,104.596,153.427,106.459,80.5546,68.8176,112.547,125.929,57.7119,88.3707,119.481,154.293,91.1394,94.2536,80.3331,55.1717,43.3779,51.1179,85.9998,52.5876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,15,FALSE,2,"None",3,0.4,1,1,10.089,9958.57,14.3301,697.831,1.2,NA,"Normal Scan",1.5475,7.29962,1000,81.9461,132.204,81.0885,24.1442,2.69956,276.597,NA,2016-04-08 02:10:00,"2016-04-08 02:12:15"
"5506",2871,"04/08/16","02:15:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.2506,0,156.46,73.5986,39.1555,160.883,186.967,148.844,93.1203,237.112,201.914,129.804,320.133,179.447,248.393,257.817,187.535,417.542,228.735,197.153,245.661,113.865,272.619,106.44,160.107,192.925,15.1721,109.839,114.131,121.008,56.5187,105.657,167.591,93.0357,125.999,86.653,60.8281,198.29,156.59,191.648,256.332,296.737,159.287,379.08,222.658,335.958,216.712,265.55,226.391,249.722,370.622,181.444,270.203,288.271,334.214,262.37,209.978,225.925,192.206,174.371,181.388,238.518,217.147,157.07,143.61,178.618,148.988,148.925,198.812,208.387,98.6632,160.344,131.054,222.271,110.315,90.9675,150.705,174.298,154.85,177.737,89.3195,101.261,167.784,81.6576,135.163,103.167,229.137,114.354,70.7669,122.027,140.789,79.5551,26.8515,55.1326,111.237,42.419,100.996,73.115,117.295,119.081,83.2438,95.6844,71.0934,63.0676,109.06,51.509,69.1388,105.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,15,FALSE,2,"None",3,0.4,1,1,10.089,9958.57,14.3301,697.831,1.2,NA,"Normal Scan",1.5475,7.29962,1000,84.8904,137.223,85.1322,26.896,2.6793,270.985,NA,2016-04-08 02:15:00,"2016-04-08 02:17:15"
"5507",2872,"04/08/16","02:20:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.5011,83.1904,39.1151,36.7993,69.2747,99.1154,169.805,165.239,157.8,284.007,248.024,160.578,314.436,269.627,514.541,286.475,183.281,399.538,284.158,203.664,303.408,234.315,161.172,262.124,153.078,123.917,143.785,161.672,77.3931,114.075,132.029,145.844,137.983,77.2956,69.0358,197.723,182.161,135.671,125.948,265.214,216.974,296.673,247.479,317.34,151.357,244.318,257.914,348.603,286.136,364.614,277.903,332.674,249.767,227.474,290.815,266.321,243.892,316.276,240.601,179.59,283.73,188.029,98.841,208.716,100.479,244.497,186.353,174.233,214.774,182.192,151.018,180.72,119.133,140.697,146.619,145.566,163.301,164.113,196.689,168.101,128.618,130.051,112.983,148.99,138.77,179.415,138.322,118.564,143.717,102.253,214.195,153.059,79.3005,83.3883,83.7276,84.838,117.157,115.531,87.4249,149.597,52.2838,62.8358,136.823,122.092,131.957,153.314,68.9749,60.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,15,FALSE,2,"None",3,0.4,1,1,10.089,9958.57,14.3301,697.831,1.2,NA,"Normal Scan",1.5475,7.29962,1000,84.0493,140.322,85.1563,24.1442,2.74016,302.729,NA,2016-04-08 02:20:00,"2016-04-08 02:22:15"
"5508",2873,"04/08/16","02:25:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.099,90.619,312.921,147.197,34.6373,47.3406,266.961,59.5375,72.4795,407.138,188.12,328.572,166.61,251.882,312.072,197.97,376.084,478.882,243.529,501.829,193.7,167.829,204.045,180.683,167.017,108.63,106.205,117.902,106.24,110.534,133.953,92.2903,221.63,118.693,125.999,172.965,85.4946,157.391,233.313,185.073,193.269,285.601,257.774,285.09,240.722,336.875,412.744,299.21,241.273,296.948,207.918,439.201,321.565,193.702,292.166,392.613,263.575,335.453,204.109,262.384,220.497,167.961,172.618,260.362,223.21,219.82,195.806,141.685,238.779,147.878,110.495,199.533,182.424,129.856,176.374,176.963,199.04,204.029,117.595,134.754,155.717,168.453,163.404,186.523,118.72,211.775,208.891,111.584,136.348,124.37,86.3395,79.5551,170.773,195.425,168.766,199.564,98.8664,145.873,179.757,116.302,33.0805,129.45,108.578,150.771,132.549,93.429,77.4873,70.1169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,15,FALSE,2,"None",3,0.4,1,1,10.089,9958.57,14.3301,697.831,1.2,NA,"Normal Scan",1.5475,7.29962,1000,85.9006,143.469,86.2887,28.9026,2.79578,325.741,NA,2016-04-08 02:25:00,"2016-04-08 02:27:15"
"5509",2874,"04/08/16","02:30:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.5011,249.571,254.053,92.1819,207.824,212.533,173.478,238.15,170.642,163.043,248.024,210.092,267.003,315.424,320.442,376.083,318.907,282.352,328.798,325.229,160.628,260.076,212.813,180.683,192.105,92.8797,257.348,80.8359,158.659,168.178,164.911,160.009,128.878,138.205,119.435,148.548,125.272,179.306,171.762,231.719,194.278,251.467,180.945,285.332,258.786,265.128,231.15,240.054,375.108,339.747,232.918,234.336,347.168,277.787,306.966,248.679,324.05,290.457,180.623,208.1,124.378,179.865,208.478,139.998,97.4468,191.509,176,111.844,154.824,147.698,173.837,102.265,192.547,156.393,167.32,168.874,90.3281,111.298,119.031,171.925,116.765,113.414,81.1374,158.026,221.787,95.4715,126.124,158.565,151.187,201.078,116.304,59.8591,146.429,70.4884,195.874,86.4464,156.578,190.058,102.36,48.5528,67.7982,103.997,16.0666,81.5685,82.2508,34.5415,51.8951,130.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,15,FALSE,2,"None",3,0.4,1,1,10.089,9958.57,14.3301,697.831,1.2,NA,"Normal Scan",1.5475,7.29962,1000,77.2479,130.671,77.4474,25.0287,2.79246,306.234,NA,2016-04-08 02:30:00,"2016-04-08 02:32:15"
